Frame_ID,Landmark_Index,X,Y,Z
10,1,0.4948074221611023,0.6080320477485657,-0.06497707217931747
10,33,0.39328891038894653,0.4604414105415344,0.013225513510406017
20,1,0.49096500873565674,0.5707771182060242,-0.06555279344320297
20,33,0.3938934803009033,0.43284785747528076,0.01655120775103569
30,1,0.4995492994785309,0.5402510762214661,-0.06482534110546112
30,33,0.40191760659217834,0.411508709192276,0.020426178351044655
40,1,0.5018877983093262,0.5177866220474243,-0.06246170029044151
40,33,0.40783852338790894,0.3944130539894104,0.018238205462694168
50,1,0.49650219082832336,0.5105293393135071,-0.0647132396697998
50,33,0.40552574396133423,0.3885893225669861,0.013856679201126099
60,1,0.5093463063240051,0.5758045315742493,-0.07136008143424988
60,33,0.4029386043548584,0.41339433193206787,0.014194435440003872
70,1,0.503991961479187,0.5769869685173035,-0.07692854106426239
70,33,0.39256229996681213,0.4133557677268982,0.015341627411544323
80,1,0.5010354518890381,0.5722748041152954,-0.07846645265817642
80,33,0.38856041431427,0.41186976432800293,0.014556922018527985
90,1,0.4993026554584503,0.5724831819534302,-0.07853632420301437
90,33,0.3840646743774414,0.41846877336502075,0.014942387118935585
100,1,0.4964637756347656,0.5786300301551819,-0.07879526168107986
100,33,0.38264763355255127,0.42114442586898804,0.015648500993847847
110,1,0.4973205029964447,0.5812177658081055,-0.07531958818435669
110,33,0.38255953788757324,0.41944634914398193,0.017114989459514618
120,1,0.4918229281902313,0.5784822106361389,-0.0791773870587349
120,33,0.375749409198761,0.4236566126346588,0.01498883031308651
130,1,0.4903397262096405,0.5797534584999084,-0.07727262377738953
130,33,0.3765477240085602,0.41671016812324524,0.017643868923187256
140,1,0.48818933963775635,0.5793490409851074,-0.07726075500249863
140,33,0.37388139963150024,0.4195704460144043,0.01718280464410782
150,1,0.48901158571243286,0.5774471759796143,-0.0770530253648758
150,33,0.3774189054965973,0.41333848237991333,0.01812571845948696
160,1,0.5044757723808289,0.5527742505073547,-0.07274686545133591
160,33,0.3909739851951599,0.4009901285171509,0.016340767964720726
170,1,0.48579633235931396,0.5393189787864685,-0.06890331953763962
170,33,0.37522101402282715,0.3973376750946045,0.014780734665691853
180,1,0.458178848028183,0.5216993093490601,-0.06498432159423828
180,33,0.35532745718955994,0.39358091354370117,0.015823792666196823
190,1,0.4399681091308594,0.48962098360061646,-0.060908276587724686
190,33,0.34032243490219116,0.36231109499931335,0.015007328242063522
200,1,0.42652207612991333,0.4592367708683014,-0.06087834760546684
200,33,0.32812726497650146,0.3556425869464874,0.019267387688159943
210,1,0.41068875789642334,0.4627395570278168,-0.060620442032814026
210,33,0.3124259114265442,0.36631014943122864,0.020868489518761635
220,1,0.3955429196357727,0.519050121307373,-0.05978293716907501
220,33,0.29294005036354065,0.41198036074638367,0.012055068276822567
